제목,관람객 평점,기자·평론가 평점,네티즌 평점,장르,국가,상영 시간,개봉 일자,감독,상영 등급,관객 수
한산: 용의 출현,8.49,6.89,8.74,"액션,드라마",한국,129분,2022.07.27개봉,김한민,129분 ,"3,692,268명(08.05 기준)"
비상선언,6.79,6.27,6.6,드라마,한국,140분,2022.08.03개봉,한재림,140분 ,"794,768명(08.05 기준)"
외계+인 1부,6.88,6.0,7.43,"액션,판타지,SF",한국,142분,2022.07.20개봉,최동훈,142분 ,"1,466,379명(08.05 기준)"
탑건: 매버릭,9.59,8.44,9.77,액션,미국,130분,2022.06.22개봉,조셉 코신스키,130분 ,"7,305,843명(08.05 기준)"
헤어질 결심,8.92,8.71,8.68,"멜로/로맨스,드라마,서스펜스",한국,138분,2022.06.29개봉,박찬욱,138분 ,"1,741,846명(08.05 기준)"
헌트,-,-,-,"액션,드라마",한국,125분,2022.08.10개봉,이정재,125분 ,개봉 예정
미니언즈2,7.84,5.67,7.72,"애니메이션,모험,코미디",미국,87분,2022.07.20개봉,카일 발다,87분 ,"1,837,975명(08.05 기준)"
토르: 러브 앤 썬더,6.73,5.14,6.54,"액션,모험,판타지",미국,119분,2022.07.06개봉,타이카 와이티티,119분 ,"2,713,431명(08.05 기준)"
더 킬러: 죽어도 되는 아이,8.64,-,7.14,액션,한국,95분,2022.07.13개봉,최재훈,95분 ,내용 없음
범죄도시2,9.02,6.56,9.35,"범죄,액션",한국,106분,2022.05.18개봉,이상용,106분 ,"12,692,052명(08.05 기준)"
